JV Site ID (if existing);Site Name;City;State;Area;Optus Site ID;Vodafone Site ID;Latitude DLL;Longitude DLL;RNC ID;Pre-Spinoza Site Status;Macro, IBC or Repeater;Build Responsibility;Cluster ID;Coverage Zone;MoLI Code;Site Category;Source;Replacing;Status (Build, Active, Decommissioned);WBTS ID;Optus Cell Count;Vodafone Cell Count;Node Types;SpinNo;Address;Node Number;Cell Operator;Cell Number;Cell ID;UARFCN;Usage (IBC,Macro);;;source;pre_spinoza_site_status;
JS6569;Governor Phillip Tower;Sydney;NSW;Inner;N/A;37;-33.86397;151.21087;SDRN4;Greenfield - Telstra;IBC - Vodafone;Telstra;;;1;;IBC - Vodafone Only;N/A;Active;32569;;;Flexi R2;;1 Ferrar Place, Sydney NSW 2000;1;Vodafone;1;99999;10812;IBC;;;Drag Along O 0809;Colocate;
JS6569;Governor Phillip Tower;Sydney;NSW;Inner;N/A;37;-33.86397;151.21087;SDRN4;Greenfield - Telstra;IBC - Vodafone;Telstra;;;;;IBC - Vodafone Only;N/A;Active;32569;;;Flexi R2;;2 Ferrar Place, Sydney NSW 2000;1;Vodafone;2;99999;4363;IBC;;;;;
JP9385;Rockingham General Hospital;Perth;WA;Moran ;N/A;6450;-32.290686;115.771275;O6LX 
MRNC01;Vodafone;IBC - Vodafone;Vodafone;;;120;;IBC - Vodafone Only;N/A;Active;7385;;;Flexi R2;;Elanora Drive, Cooloongup WA 6168;1;Vodafone;1;28474;10812;IBC;;;Drag Along O 0910;Greenfield - 2G;
JP9385;Rockingham General Hospital;Perth;WA;Moran ;N/A;6450;-32.290686;115.771275;O6LX 
MRNC01;Vodafone;IBC - Vodafone;Vodafone;;;120;;IBC - Vodafone Only;N/A;Active;7385;;;Flexi R2;;Elanora Drive, Cooloongup WA 6168;1;Vodafone;2;28475;10812;IBC;;;Drag Along O 0910;Greenfield - 2G;
JS6570;Pinnacle - Macquarie Park;Sydney;NSW;Inner;N/A;228;-33.786344;151.125184;SDRN2;Vodafone;IBC - Vodafone;Vodafone;;;1;;IBC - Vodafone Only;N/A;Build;32570;;;Flexi R2;;Building B, 4 Drake Avenue, Macquarie Park, NSW 2113;1;Vodafone;1;99999;10812;IBC;;;Drag Along O 1011;Greenfield - 2G + 2G;
;;;;;;;;;;;io;;;;;;;;;;;;;;;;;;;;;;;Drag Along V 0809;Greenfield - 3GIS;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Drag Along V 0910;Greenfield - Hutchison;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Drag Along V 1011;Greenfield - New;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;IBC - Jointly Funded;Greenfield - New + 2G;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;IBC - Optus Only;Greenfield - Optus;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;IBC - Spinoza;Greenfield - Telstra;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;IBC - Vodafone Only;Greenfield - Telstra + 2G;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Infill 0708;Infill - 3GIS - Spinoza;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Infill 0809;Infill - Optus - Spinoza;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Infill 0910;Infill - Vodafone -Spinoza;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Infill 1011;Optus;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Infill 1112;TBA;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Initial PP;Vodafone;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Low Band 1011;Select;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Optus funded Joint;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Replace -Initial PP 0506;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Replace -Initial PP 0607;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Replace -Initial PP 0708;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Replace -Initial PP 0809;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Replace -Initial PP 0910;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Replace - Initial PP 1011;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Select;;
